name,whatsapp_number,phonecall_number
AWE PHOTOBOOTH,,0109313938
PROEVENT SOLUTION,,0164494995
PIXIE THE PHOTOBOOTH INSTAGRAM BOOTH BY GOOEY INNOVATIONS,,0122521002
THE LOVE ARTISTRY WEDDINGS & EVENTS,,0126998810
ES EVENTZ CREATIONS,,0123995885
KINDRED SPIRITS,,0193807845
JOHN HALL PRODUCTIONS,,0320955389
CHECKEDMADE ENTERTAINMENT,,01112829814
BAYU MARINA RESORT,,0197520719
PRETTY PINK PARTY BY HEAVENLY,,0128254025
THE WEDDING PROJECT,,0166683650
NURUL IZZAH CATERING,,0173139688
BALLOON POP PARTY HOUSE,,0193323228
REDTRO SERVICES SDN BHD,,0123881230
R & B GIFT,0163336291,0162966291
EVENT MANAGEMENT,,
W_ARE_HOUSE,,0167180908
DQUEST VENTURES EVENT MANAGEMENT,0124280578,0124280578
LITTLE THOUGHTS,,0164422945
SAJIAN NAGASARI KATERING,,0192066775
TUNAMAYA BEACH & SPA RESORT,,
LITTLE DANDELION EVENT,,0165571269
GLAMMORIES,,0174531339
BLUE SOUND,,0162014006
JUNKISS,,0193070806
OOPSYSHIDDY DIY PARTY PLANNER,,0133392801
CEMPAKA CATERERS,,01133146918
HELIUM & KONFETTI,,0103665975
EDISON LIM MAGIC,,0177705377
ITQAN PROFESSIONAL TRAINING CENTRE,,0126805045
WHUP WHUP,,01116252844
PARTY & CO.,,0123312607
AKAR BUDAYA,,0122779068
ULTIMATE DESIGNERS WEDDING PLANNER,,0105625210
DELICCIA,,01135470911
THREE SIXTY PRODUCTION,,0146342579
LITTLE FLOWER POT AND GIFTS,,0192517133
SOMETHING SPECIAL TO YOU,,0378771800
BLISS & GLITZ,,0123015650
KIDS ENTERTAINMENT & PARTY PLANNERS,,0163700039
MASTER ENTERTAINMENT SDN BHD,,0122507070
CASE25,,0177699691
STARGAZER CONSULTANTS,,0173375545
BE EVENTS,,0126647839
CLOUD NINE EVENTS,,0166686857
TWIST CREATIVES,,0163925940
TOP THAT,,0380111166
THE PARTY PROJECT MALAYSIA,,0166683650
MAHROJA RESOURCES,,0102313800
PARDE & CO.,,0123720216
DE'GEMILANG CATERING & BRIDAL SDN BHD,,0122153428
DJ PHOTOGRAPHY,,0162528679
OLE OLE MANIS,,0123447400
LIVE GALLERY,,0166878408
TWIST EVENTS ASIA,,0163925940
CHIIO OCCASIONS,0165264296,0165264296
MEMORY EVENT STUDIO,,0123853390
FAIRYTALEWEDDINGS & EVENTS PLANNER,,0172450997
SIX FINGERS AN EVENT AGENCY,,0378057800
SSWP SUN SHINE WEDDING PLANNER,,0123901071
TENZA MUSIC AND EVENTS,,0122899192
WEDDINGS BY EMMA,,0333625047
TIMES2 EVENT KL,,0167727799
ELEGIMOS EVENT SOLUTIONS S/B,,0379711070
VERY IMPORTANT PARTY EVENT DESIGN,,0149293917
VASHMIILAS EVENT MANAGEMENT,,0162524407
CHERITERA QASEH EVENT MANAGEMENT,,0192202405
DA'SIMONZ EVENTS PLANNERS,,0192486248
IZREKA WEDDING PLANNER,,0142638781
T-REX EVENT MANAGEMENT,,0169354599
DZ FORMAT SDN BHD - MALAYSIA,,0122928368
BRANDCO EVENT MANAGEMENT,,0142607211
GALAXY DREAM CATCHER STUDIO,,0169201062
BUAIAN BERENDOI LIEYZA CREATIVE & DECORATIONS,,0134100178
LYS WEDDING AND EVENT STYLING,,0129733697
LIGHT FEATHER STUDIOS,,0124151169
REKA EVENTS,,0173335664
L'AMO JAYA SDN BHD,,0176994080
IVY SIX BODY CARE & TRADING SDN BHD,,0173473898
WARISAN WEDDING PLANNER AND CATERING,,0197693195
KRYPTONITE ENTERTAINMENT,,0122230440
FIENA COLLECTION,,0179357562
RSHILMAN ENTERPRISE,,0125935809
BEAUTY PRODUC & SERVICE,,0194173066
"CITRA ABADY SPA,BEAUTY & SALOON",,0195731616
SMOFF AGENCY SDN BHD,,0173339265
OWL STORIES PRODUCTION,,0149172493
EHH AZZIE ENTEPRISE,,0177316933
ABAHWANGRILL CANOPY & CATERING,,0195990679
AL BARAKAH CATERING,,0188733252
DIVS EVENT PLANNING,,0149524216
INAI DIJARI,,01113631450
ALBALKHI WEDDING PLANNER,,0193422099
FERMENTED GRAPE JUICE,,0378467383
TAGBOOTH,,0162945912
SHAH ALAM CONVENTION CENTRE,,0166653497
SCHASAHAQUEWEDDING,,01116143191
AWAN WEDDING PLANNER,,0137342651
MISS TAILOR,,0179123851
PARTY PLANNER,,
RAINMAKERS CREATIVE HOUSE,,0162900391
INSTABOOTHKL,,0126248108
THE MAGICAL JOURNEY,,0123122136
EMCEE BALLOON,0179680389,0179680389
PHILEA MINES BEACH RESORT,,0146114151
LK EVENTS SOLUTIONS,,0123183981
DIGITAL ARD,,0164362338
MY KL WEDDING,,0193656946
HE XIN YI,,0173866255
VONE EVENT MANAGEMENT,,0174097778
DA VINZ VENTURE,,0192352101
EMCEE BRYAN,0169349017,0169349017
PARADISE DELIGHT,,0146114151
HELLOEVENTSMY,,0123705709
WEDDING HOUSE,,01127064085
ELEGANT REFINED WEDDINGS,,0193486044
RATU AZIE COLLECTION,,01132592300
FOREVER EVENTS,,0166419655
NUREN WEDDING PLANNER,,0168105880
ARTISTRY EVENTS,,0166674605
MUTORENN EVENT PRODUCTION,0167112872,0167112872
PENARI KEBUDAYAAN DAN KESENIAN EDP,,0102983525
C & H EVENTS & MANAGEMENT,,0122888533
HILTON KUALA LUMPUR,,0322642264
ICE CREAM EVENTS (M) SDN. BHD.,,0377708808
PHOTOSYNTHESIS,,0166713513
WEDDING BAND AND EMCEE,,0146640581
PARTY HEAVEN,,0146006267
RUN SOLUTION,,0107607087
PULLMAN KLCC,,0169389591
ANGEL EVENT PLANNER & DECORATION,,0122800779
EMCEE EVENTS,,0192110799
JOHARI CATERING,0142108993,0142108993
LEBEST EVENT,,0162271398
RAZAIN CATERINGS,,0198309488
EXPOSURE PRODUCTION,,01121076201
THE NEXT CHAPTER,,0179055836
GRAND ACHARA EVENTS,,0134788402
HIKAYAT CINTA,0123175100,0123175100
DARSHIEBOOPLANS,0122535752,0122535752
THE VIOLET FLAME SDN BHD,,0322829868
EPICO MALAYSIA,,0176563594
NUHA EMPIRE TRADING,,0133334847
DC WEDDING DECORATION @ UNTITLED CREATIVE,,01121029537
BUBBLY MEDIA,,0162900391
PASSAGE MULTIMEDIA,,0123856032
GLAMOR & SECRETS,,0102179068
HEIRLOOM COFFEE BAR SERVICES,,0103672996
BOMBPHOTOBOOTH @ MALER 7117 EMPIRE,0104318737,0104318737
WAFASURPRISED,,0189718358
HOT CATERING & EVENT,,0133666039
Y L MOMENT,,0166895603
AFTERBLOOM EVENTS & FLORALS,0166275682,0166275682
RYIMAGE PHOTOGRAPHY STUDIO,01136111373,01136111373
SALT & PEPPER,0173728402,0173728402
SMOFF EVENT SDN BHD,0177691826,0177691826
MAJESTUEUX EVENT,0123923796,0123923796
MYSUPERVIP,0164283204,0164283204
HONEYMOON VIDEOGRAPHY,0198866531,0198866531
IGAMEHAUS,0175148944,0175148944
TROPICAL FLORAL & GIFT ENTERPRISE,0126560970,0126560970
AVALON BRIDAL COUTURE,0122955009,0122955009
SATCHARITRA CREATIONS,0102119358,0102119358
UNICORN VALLEY ENTERPRISE,0166657779,0166657779
CONDIMENTSTRINGS,0172292536,0172292536
SABAH ITV NETWORK,01125260014,01125260014
JK SIGNATURE SDN BHD,0193512080,0193512080
BUS ELITE,01110665580,01110665580
DINUNA SERVICES,0122442084,0172786889
CORNERSTONE,,0162289150
3TOPS WEDDING,,0122356512
PUTRA AMEEN CATERING,0126780903,0126780903
CHERISH EVENTS AND WEDDINGS,0172279490,0172279490
EMAZING EVENT MANAGEMENT,0102461646,0102461646
SHRII GIFT EXPRESS,0129531202,0129531202
NBA FOOD RECIPES,0183293297,0183293297
MEMOS EVENT,0162851683,0162851683
BUTIK HATI KE HATI,0168306927,0168306927
JESLYN MAKEUP STUDIO,0163568483,0163568483
ZECK MASTERPIECE,0195500472,0195500472
WISH AND WHIMS,0199838783,0199838783
MISSING LINK RESOURCES (M) SDN BHD,0186624014,0378774019
GARING RESOURCES,0192803197,0192803197
MESY EMPIRE,0123209231,0123209231
PASSION SOUND & EVENT PLANNER,,0187904664
SEWA PA SYSTEM & KARAOKE,0126804380,0126804380
OKOMZ SYNERGY,0125757472,0125757472
EMCEE,0136122433,0136122433
LIYU INDIAN SPICY KITCHENS,0143269075,0143269075
EMCEE JOHN,0123813875,0123813875
LIGHTSCIENCE PHOTOGRAPHY,0126437904,0126437904
PROVIDER TEST,0126545667,0382131233
ITZSIRVINCENT,0178891718,0178891718
8X2 STUDIO,,0132008153
GEN HARVEST STUDIO,01128352147,01128352147
ANTON YEOH PHOTOGRAPHY,0132850948,0132850948
TECHGEAR SUPPLIES,01136662597,01136662597
DP MEDIA,0178625835,0178625835
MINCHEPHOTO PHOTOGRAPHY,0162573431,0162573431
PLATINUM BABES,,0169660032
WNR PRODUCTION,0177978799,0177978799
PIXIE BRIDAL STUDIO,,0122704089
SE BELLA IMAGE,0163090428,0163090428
LIM BERRY MAKE UP & ACADEMY,,0166666374
YEN MAKEUP,,0126137324
MOON MAKE UP,,0126461101
DESMOND MAKEUP + HAIR - BRIDAL MAKEUP ARTIST,,0126051578
GINGER MAKE UP,,0123284789
DENISE KHAN MAKE-UPARTIST,0163713300,0163713300
EMO PROFESSIONAL MAKEUP,,0169014173
JEANE MAKEUP + HAIR - BRIDAL MAKEUP ARTIST,,0163879969
CARMEN MAKEUP,0123529230,0123529230
MAKEUP SERVICES,,
ALLYCHOONG.MAKEOVER,0163181648,0163181648
NICHOLE PSY BRIDAL MAKEUP,,0102207776
ART D NOIVA,,0162126878
KRIS PROFESSIONAL MAKEUP ARTIST & BRIDAL MAKEUP,,0123886578
SHELLA GOH MAKEUP & HAIR,,0173789818
BELLINESE BEAUTY,0126372873,0126372873
JULLY IMAGE STUDIO,,0195085096
MAKEUP BY SHATILA,,0194181343
ESTHER'S PROFESSIONAL MAKE UP & HAIRSTYLING,,0164274586
SUZ MAKE UP & HAIRDO SERVICE,,0122681004
VETTA PROFESSIONAL MAKEUP,,0169194759
VEEN BRIDAL,,0125503848
ABBY FOO MAKEUP,0173128099,0173128099
JOEAN.L MAKEUP ARTIST,,0122600886
S & CO. ARTISTRY MAKEUP STUDIO,,0102257374
WENZ MAKEUP SERVICES,,0125336063
MY CHERRY STYLE,,0172044629
JOEY. Y MAKE UP & HAIR STYLING SERVICES,,01126360362
CHELLEMAKEUP.STUDIO,,0178111822
MAKEUPBYAINAASRI,,0172265808
SARA MAKE UP STUDIO,,0166940001
CHERYL MAKE UP,,01156999173
KEVIN & KIM,0143052388,0143052388
FANNY BEAUTY MAKEUP,0149308583,0149308583
SHIAN MAKEUP & HAIRSTYLING,0127712393,0127712393
AURORA STUDIO PHOTOGRAPHY,,01128008551
AIVY YONG MAKEUP STUDIO,,0123226398
AMY MAKEUP ARTIST,,0162518453
AMELIN LOK MAKEUP ARTIST,,0123796625
E'DOCLASSIQUE,,0137722055
KC MAKEUP ARTIST,,0122186209
AMY MAKEUP ARTIST,,0162518453
AIVY YONG BRIDAL STYLING BOUTIQUE,,0123226398
ALAQIS BRIDAL,,0122103475
ANGIE MAKEUP & HAIR,,
BEAUTY HAVEN,,0123957005
BRIDAL MAKEUP MALAYSIA,,
CALLY MAKE UP,,0123422249
DORIS SP,,0123715052
ELLYN MAKE UP,,0162337334
FASHION PALLETES,,01111880900
IF STUDIO,,0379721280
JOCELYNTAN MAKE UP,,
MABEL TOH,,0162182188
MAE LIEW,,0122681879
MAKEART,,0162093960
MEOKI TONG ACADEMY STUDIO,,0162006098
NICOLE WOO MAKEUP & HAIRSTYLING,,0123389555
QUEENIE CHONG BRIDAL MAKE UP SERVICE,,0126887572
RACHEL WONG,,0163697441
SHARON DE BEAUTY,,0163154903
SHEER MAKE-UP & ARTISTRY,,0123829754
SIMPLY CHIC! MAKE YOU A CHIC BRIDE~,,0163434263
TWINKLE MAKEUP CONCEPT,,0163312403
MAKEUPBYEJA,,0129426544
THE ART OF MAE ATELIER WORKSHOP,,0122681879
PROFESSSIONAL BRIDAL MAKEUP AND HAIRDO,,0127601752
MERILYNMC'S MAKEUP,,0126765883
FAZION SENZE SALON AND SPA,,01133158037
"RACHEL W, THE MAKEUP ARTIST",,0163697441
VY MAKEUP.IVY CHONG,,0126088806
JESSICA'S MAKEUP ZONE,,0162010661
SANNY MOK MAKEUP,,0122326616
G' 92,0167064505,0167064505
CINDER BRIDAL MAKE-UP ARTIST,,0139988686
SIMPLY CHIC! MAKE YOU A CHIC BRIDE~,,0163434263
BEAUTY ON CALL MAKE UP ROOM,,0168310610
JIA XIN MAKEUP,,0167730627
JOAN TAN MAKEUP,,0127193577
PERINDU MAKEUP,,01117612361
AGNES CHA MAKEUP,,0174231921
CINDI MAKEUP,,0173456356
JOIE & MAKE UP,,0164041798
PERFECT TOUCH PROFESSIONAL MAKEUP ARTIST PENANG,,
SHANG STUDIO,,01111880900
WOVE HAIR SALON,,01127230715
MAKEUPBYFATEEN,0172560291,0172560291
HANNAH YING MAKEUP,,0174204416
ILOX STUDIO,,0122185583
G.N.A MAKEOVER STUDIO,,0125242100
PINCH.ME. MAKEUP,,0132117645
EVONNE MAKEUP DIARY,,0172071761
MAKEUP BY ANNIE H,,0122077878
ANGIE MAKE UP & HAIR,,0122586500
JENNY-MAKEUP,,0129189587
MK WEDDING,,0135111107
PIXIE'S BRIDAL & EVENTS MAKEUP & HAIR STYLING SERVICES,,0126505646
MEOKI TONG ACADEMY STUDIO,,0162006098
MAKEUPBYSHATILA,,0194181343
YP IMAGE CONSULTANT,,0124652575
LA FRE MAKEUP ARTISTRY,,01112855733
MAKE UP BY NUR ATIQAH,,0133789696
BEAUTYLICIOUS STUDIO,,0126712182
CHRISTAL IMAGE & MAKE UP CONCULTANCY,,0193395230
MAKEUP BY ELERIEZA,,0146279628
WENXY KHOR MAKE UP,,0175650180
EEIEN MELIA BEAUTY,,0163066286
LEI'S BRIDAL MAKE UP & HAIRDO SERVICE,,0127046241
METAL BEES PRODUCTION HOUSE,,0129856012
EEIEN MELIA BEAUTY,,0163066286
PENNY BRIDAL MAKE UP & HAIR STYLE,,0176969899
FARHAA BRIDAL MAKEUP,,01116312105
MAVIS MAKEUP STUDIO,,0126681205
CELESTE PHUAH MAKE-UP,,0177077066
VIVI BRIDAL MAKEUP I VIVI 新娘造型师,,0125553499
DRESSUP GALLERY,,0169833479
SERVICE FACIAL AND MAKE UP FINI,,0137982850
SALONMUSLIMAHSERVIESNURUL,,01139142321
SALONMUSLIMAHSERVIESNURUL,,01139142321
MELL MAKEUP STUDIO,,0124199620
GLOWBYHANNA | MAKE UP & HAIRSTYLING,0193637920,0193637920
SUKYAN MAKEUP&NAIL,,0172073816
SUPERCATER,,0177988990
BEAUTILICIOUS,,01110555078
PROIMAGE SPA & SALON,,0134016727
ARTISTIQUE,,0103605815
BRENDA W MAKEUP,,0172023977
PRETTYFITS,,0193771767
MAKEUPBYAFRINA,,0173616429
SN PARTY PLANNER,,01115740853
SAPPHIRE JAZZ,,0126646966
APPLE LIM,,0102313805
HELENCEN MUA,,0125271038
SHARON LOW MAKE UP,,0128182090
VC PROFESSIONAL MAKEUP,,0126099553
I STYLE ACADEMY,,0165665895
MIN AND THE MAKEUP,,0176591049
VERONICA MAKE UP,,0165363199
WEI YEE PPROFESSIONAL MAKEUP & IMAGE,,0175518642
AARIKA BRIDAL & HENNA HOUSE,,0102172925
OLLIE'S MAQUILLAGE PROJECT,,0172010541
MAKEUPART BY HITA PANWAR,,0176691958
ROSS ARTISTRY 6887,,0173404043
THE BEAUTY MAKER,0123609978,0123609978
J MAKEUP STUDIO,0149642493,0149642493
AAY MAKEUP STUDIO,,0102322479
MAKEUP ARTIST STEPHANIE C.,0165378633,0165378633
JOY MAKEUP & GOWN BY KYLIE,0122696772,0122696772
DEENA DAZZLES,0133887846,0133887846
MAKEUP ARTIST,0104318981,0104318981
BRIDEY MAKEUP SERVICES,0123913028,0123913028
VIVI BRIDAL MAKEUP I VIVI 新娘造型师,0125553499,0125553499
CRISTY ONG MAKE-UP STUDIO,,0162185982
MAKEOVER LOFT,0189829098,0189829082
MEIMEIMUA,01112541686,01112541686
SHINY LADY SALON,01110992015,01110992015
JAYNE SCULLY MAKEUP ARTIST & HAIR STYLING,0172567769,0172567769
VENUS MAKE UP STUDIO,0122719426,0122719426
CHRIS FONG WEDDING MAKE UP SERVICES,01123261588,01123261588
CHELLEMAKEUP.STUDIO,0178111822,0178111822
KB MICROMICE TECHNOLOGY,0129277095,0129277095
MAKEUP BY ALY (FREELANCE MAKEUP ARTIST),0102311391,0102311391
GLAM AURORA MAKEUP STUDIO,0164943380,0164943380
EMCEE JASON,0125582580,0125582580
PARTY HAT,,0173805560
BIG GIN NA FAMILY RESTAURANT,,0125315199
RETRO CATERING,,0182619207
SPLENDID CATERERS SDN BHD,,0390803633
ASK JOEY - THE SWEETEST PARTY,,0177806939
PASSION DASH,,0162201458
THE SURPRISE CREW,,0129818677
OMG,,0123823728
PASSIONFLAVOUR,,0166737013
AINA & CO. PARTY N SUCH,0122755434,0122755434
VMS EVENT MANAGEMENT,,0380518185
BALLOON ARTIST,,0124404688
PARTY CAT,,0137039189
GLOBBYKIDZ SDN BHD,,0194003194
VSMS,,0380600070
MY PARTY FAIRY,,0162804448
LUXX BY ICE - BABY & TODDLER EVENTS EDITION,0127750162,0127750162
COOCHICOO : LILMAMA,,0123015650
MAGICVIEW ENTERTAINMENT & EVENT MANAGEMENT,,
IBENTO SDN BHD,,0122113237
MJ'S HOME-CATERING,,0172901559
NORTHERN CREATION,,0122240580
I HEART PARTY,,0166000633
TRICK AND TREATS PARTY BOSS,,0133446521
MEDIA PARTY PLANNERS,,0124444002
VEDASZ CREATION,,0162831500
BIG BOY ENTERTAINMENT,,0123217797
FIFTHFUL,,0103867736
ROYALE.CREATIONS.ENTERTAINMENT,,0132778084
"AX WEDDING, PARTY & EVENT",,0129769515
GIGGLES N BUBBLES PARTY PLANNERS,,01112785310
TIPTOE PARTY PLANNERS,,0123307835
PARTY FACTORY,,0176855939
LILY'S IDEAS,,0162125424
THE SILINDER MALAYSIA,,0142616034
AZNIZAH EXCELLENT ENTERPRISE,,0172732058
BEOLICIOUS DOOR GIFT,,0125804308
KEMBOJA CHENTA,,0125544458
KAIZEN FOODILICIOUS,,0125650380
ADIAHOS DOT COM,,0175311106
AVR EVENT BALLOON DECOR,,0126871906
PARTYMON,,0176988582
PJMI CHILD SERVICES,,0107606570
THE FAB CREATIVE,,0192396142
WS PARTY & BALLOONS,,0184014437
SA PARTY PLANNER,,0173363811
ALISON'S FOOD,,0127372085
THE INGREDIENTS CATERING SDN. BHD,,0122117951
BOUNCING WORLD EVENT,0163228323,0163228323
CHALKBOARD POSTER DESIGN/ MILESTONE DESIGN,,0143438599
REAL EVENTS MY,,0162032130
DESSERT INC,,0176259882
DREAM CREATION,,0123909887
IPOH SURPRISE DELIVERY & SURPRISE PLANNER IPOH PERAK,,0123635612
CHACKRA CATERING,,01160848187
POP PARTY ENTERPRISE,,0123013188
MAOMILES DESIGN AND EVENT,,0167164523
GHOST KL,,0172555806
MIA PARTY PLANNER,0182808056,0182808056
NUPHORA,01126641221,01126641221
AORTA LEADERSHIP INSIGHTS,0122747879,0122747879
DRECANDY PARTY SHOP & FLORIST,0129933538,0129933538
FIRE SHOW,0102099923,0102099923
LED STILT WALKER & LED DANCERS,0102099923,0102099923
FACE PAINTING BY POODIE PAINT,01127180871,01127180871
SHUTTERIFIX PHOTOGRAPHY,,0126537303
JEDPOO MARKETING & BEYOND,0164230068,0164230068
ALEEZA AZMAN PHOTO,01114571800,01114571800
PATRICK HO PHOTO STUDIO,0165750355,0165750355
RYCH VISUAL STUDIO,0169766906,0169766906
INDIPIXELS PRODUCTIONS,0123105330,0123105330
FOODPHOTOGRAPHY,0126361022,0126361022
MUHD IKMAL PHOTOGRAPHY (002918031-U),0193487191,0193487191
MAIN SHOT STUDIO,0162728752,0162728752
BLU LEAF WORKSHOP,0104632784,0104632784
SNAP BY LAZYHOST,0163330248,0163330248
EDASHE,0169920072,0169920072
MJKPHOTOGRAPHY,0193260268,0193260268
ANSONCHOI PHOTOGRAPHY,,0126926984
MOMENTO WEDDING,,0174818190
SIMPLY GORGEOUS BRIDAL,,01111002116
"PHOTOGRAPHY, VIDEOGRAPHY AND CINEMATOGRAPHY",01128930215,01128930215
PAPEROSE WEDDING SDN BHD,,0378660772
AG ART GALLERY,0126853975,0126853975
ISKANDAR IBRAHIM PRODUCTIONS,,0166809696
HUA WEI APERTURE,0164466838,0164466838
90K STUDIO,0127878589,0127878589
IMAGES BY IAN,,0176036303
ZAP INTERACTIVE,,0122123156
DSYACLICKS,,0166651496
T.O.P STUDIOS,,0166655362
DY PHOTOGRAPHY,,0128885968
VINCENT LEE STUDIO,0162038082,0162038082
SEPTEMBER PRODUCTION,,0166682756
TIE THE KNOT PHOTOGRAPHY,,0165215092
YUXIANG PHOTOGRAPHY & VIDEOGRAPHY,,0167485527
INSTILLS PHOTOGRAPHY,0173672425,0166266411
CAROL YONG PHOTOGRAPHY,,0109827651
WKJ PHOTOGRAPHY,0102265616,0102265616
CAYDEN PHOTOGRAPHY TEAM,,0126407012
INFINIM PHOTOGRAPHY & FILM,,0126546689
MULTIVIOUS STUDIO,0132638205,0132638205
RASLAN ARIF PICTURES,0172404210,0172404210
STUDIO PHOTOREKA,01123055625,01123055625
STEVE BOON PHOTO,0164055101,0164055101
PHOTO HAVENS,,0189725211
EGALLERY BY EDMUNDTHAM,,0123166995
INTEGRICITY VISUALS SDN BHD,0176120717,0176120717
EMOTION IN PICTURES BY ANDY LIM,,0123788082
AARON CHIN PHOTOGRAPHY,,0168363621
WONDROUS VISION,,0122883631
DAREN CHONG PHOTOGRAPHY,,0123225553
DAVIES LEE PHOTOGRAPHY,,0126242357
JENNY SUN PHOTOGRAPHY,,0126267706
IRVIN STUDIO,,0122095516
SAMANTHA YONG PHOTOGRAPHY,,0163224552
BENSON YIN PHOTOGRAPHY | BY GALLERY,,0122222519
SHANGHWAN PHOTOGRAPHY,,0169154710
MOMENTSPIX PHOTOGRAPHY,,0163372787
ZA GALLERY / ZACH CHIN PHOTOGRAPHY,,0125210204
GALLERIE CK,,0123312563
SIMPLYBENJI PHOTOGRAPHY,,0163380208
ROBIN NG PHOTOGRAPHY,,0126623257
SEAN LIM PHOTOGRAPHY,,0133251272
EDWIN TAN PHOTOGRAPHY,,0123040558
SCENIX PICTURES PHOTOGRAPHY & VIDEOGRAPHY SERVICES,,0143336694
KAWI STUDIO,,0123544300
AC MOMENT PHOTOGRAPHY STUDIO,,0122638272
PICTURE TIME PRODUCTION,,0182676565
PIXELLOT PHOTOGRAPHY,0173811689,0146488380
BESTIANKELLY PHOTOGRAPHY,,0124482235
VINCENT PANG,,0122174328
COLOUR SHOT,,0362631412
NDREW PHOTOGRAPHY,,
LAWRENCE STUDIO,,0129372985
MAXTOGRAPHY,,0123039945
BITESIZE VISUALS,,0123926127
ABC STUDIO,,0129800235
JOSHUA KHOO PHOTOGRAPHY,,0162055505
ANDREW YEP PHOTOGRAPHIE,,0125103065
THE PICTURE TEAM,,0123788082
ZAMRI KARIM PHOTOGRAPHY,,0129258359
SANGUINEWILLIAM PHOTOGRAPHY,,0127820212
LUXERAY VISUAL,,0123061045
FEVERPICTURES PHOTOGRAPHY,,0176580002
VISUALEETY PICTURES,,0108976181
ESL PHOTOGRAPHY,,0124786568
GRAND LUMINOUS PHOTOGRAPHY STUDIO,,0175850021
PHANTOM PRODUCTION,,0123918501
TAKKI PHOTOGRAPHER,,0102323521
PEOPLEGRAPHY,,0123797764
MANOJ PHOTOGRAPHY,0123420298,0123420298
ANDREW KHOO PHOTOGRAPHY,,0123765058
FOTOFLYFOTOGRAFI WORLDWIDE,,0199967887
AR STUDIOS,,0137165366
WHITE SPACE STUDIO,0166472410,0166472410
CHRISKYLEPETERS DESIGNS,0169080070,0169080070
CJ PHOTOGRAPHY,0195555133,0195555133
DREAMWARRIORS PRODUCTION HOUSE,,0149551282
VICTOR NG PHOTOGRAPHY,0122687050,0122687050
MOCO: CAPTURING LIFE MOMENTS,,0374970332
NIGEL CHEN PHOTOGRAPHY,,0127761007
BIG BOSS PRODUCTION,,0167300028
AC CREATIVE STUDIO,,0163555311
PRECIOUS PRECIOUS SDN BHD,,0378774840
HYPER LUXURY CAR MALAYSIA,,0196558109
BRIDAL COLLECTION IPOH,,
CASH STUDIO,,0123132977
FASHION DESIGNER,,0173668362
ISMARTPHOTO MALAYSIA,,0102251813
JINN WU,,0122518099
SILVER SNAPPER PHOTOWORK (SSP),,0102669260
BELLO DESIGN,,0162623552
DOUBLETWO BRIDAL,,0102098988
LE BIN PHOTO,0137144255,0137144255
MY PHOTO BOOTH,,0192404448
MYSNAPPY PHOTO BOOTH,,0123612911
XOXOBOOTH,,0126779286
MYPIXELBOOTH - PHOTOBOOTH,,0182101119
EYECAP STUDIO PHOTOGRAPHY,,0102217410
CENTRE OF PICTURE CREATION,,0183116911
SELFIPRINT MALAYSIA,,0142280531
KEDAI KAD KAHWIN,,0176493753
IPOHPHOTOBOOTH.COM,,0123116690
EDWARD CHEN EVENT PHOTOGRAPHER,,0123116690
PURPLE CARDS,,0189193911
THE PHOTOBOOTH.CO,,0173429799
FOTOINC. BY YIZU DESIGN,,0192202276
MOMENTS PHOTOBOOTH MALAYSIA,,
WEFIE PHOTOBOOTH,,0129149398
WEDDINGS BY PICTURE CREATION,,0183116911
PIXUS PHOTO BOOTH,,0122123156
CAMERAWORKS,,0129101069
DREAMS PHOTOHAUS,,0146200851
POSEBOX PHOTOBOOTH,,0166809696
YIN PHOTOGRAPHY,,0164121438
YIN PHOTOBOOTH,,0164121438
OMGPHOTOBOOTHHIRE,,0164477743
SCHOOL IS COOL STATIONERY,,0173172508
GREGS VIDEO SDN BHD,,0123006298
SQUIDOOBOOTH PHOTOBOOTH @ SPICE EVENT PLT,,0125535732
SIBOEY PHOTOGRAPHY,,0125080767
MINESSHOPPE,,0175445288
RUBYY PHOTOGRAPHER,,01137239304
ACHIKPHOTOGRAPHER,,01116491925
GIANT PROPS,,0166665898
EL PHOTORAPHER,,0195986809
PICTURESQUE,,0174194196
PICTURESQUE ENTERPRISE,,0182562530
NURIN COPYCAT,,0103359793
SEKAPUR SIREH GALLERY,,0182274161
INSTABOOTH MALAYSIA,,0162177017
THOUGHTSHOTS PHOTOGRAPHY,,0122578466
BANGS ADVERTISING,,0178018849
SHUTTERING HEARTS,,0126366989
SHAH MOHAMMED PHOTOGRAPHY,,0193311395
POP THE BOX,,0172222370
YIN PHOTOBOOTH,,0126864932
UNIQUE PHOTO BOOTH,,0162402246
RL | FREELANCE GRAPHIC DESIGNER,,0123312607
QINGHUI PHOTOGRAPHY,,0132443130
POSE2SNAP PHOTOBOOTH,,0165030999
EDDIE PHOTOVIDEO,,0133913102
FLIPLET ENTERPRISE,,0122530132
PIXSURA PHOTOGRAPHY,,0146225630
WHITEWALL CREATIVES,,0174833234
EVEWORK PRODUCTION,,0108814669
FOTOHUB STUDIO,,0122929314
LABUAN PHOTOGRAPHER,0164447563,0164447563
DIXON CHONG PHOTOGRAPHY,,0166596388
AMPM DESIGN HOUSE,,01117841030
MADDY KHOR PHOTOGRAPHY,,0163779822
INPIX STUDIO,,0125600993
ASPIRERSTUDIO PRODUCTION,0182676565,0182676565
ARTPRO IMAGE,,0173919953
4YEW PHOTOGRAPHY,,0102251620
99 STUDIO,,0197162539
SEMENCES DESIGN STUDEO,,0124809093
MACKIDDBILL PRODUCTION,,0165338136
